"";"city";"country";"type";"name";"lat";"lon"
"590";"Beauvais";"France";"epoch";"Beauvais";"49.4300997";"2.0823355"
"591";"Belfort";"France";"epoch";"Belfort";"47.6379599";"6.8628942"
"595";"Blois";"France";"epoch";"Blois";"47.5876861";"1.3337639"
"596";"Boulogne-sur-Mer";"France";"epoch";"Boulogne-sur-Mer";"50.7259985";"1.6118771"
"597";"Bourg-en-Bresse";"France";"epoch";"Bourg-en-Bresse";"46.2051192";"5.2250324"
"598";"Bourges";"France";"epoch";"Bourges";"47.0805693";"2.398932"
"599";"Bourgoin-Jallieu";"France";"epoch";"Bourgoin-Jallieu";"45.5872259";"5.2828123"
"600";"Brest";"France";"epoch";"Brest";"48.3905283";"-4.4860088"
"601";"Brive-la-Gaillarde";"France";"epoch";"Brive-la-Gaillarde";"45.1584982";"1.5332389"
"602";"Caen";"France";"epoch";"Caen";"49.1828008";"-0.3690815"
"603";"Calais";"France";"epoch";"Calais";"50.9488";"1.87468"
"608";"Chartres";"France";"epoch";"Chartres";"48.4438601";"1.4881434"
"609";"Cherbourg-Octeville";"France";"epoch";"Cherbourg-Octeville";"49.6343606";"-1.628568691"
"610";"Clermont-Ferrand";"France";"epoch";"Clermont-Ferrand";"45.7774551";"3.0819427"
"611";"Cluses";"France";"epoch";"Cluses";"46.0603171";"6.5804218"
"612";"Colmar";"France";"epoch";"Colmar";"48.0777517";"7.3579641"
"614";"Creil";"France";"epoch";"Creil";"49.2607914";"2.4733771"
"615";"Dijon";"France";"epoch";"Dijon";"47.3215806";"5.0414701"
"616";"Douai - Lens";"France";"epoch";"Douai - Lens";"50.3861442";"2.9800138"
"617";"Draguignan";"France";"epoch";"Draguignan";"43.5374662";"6.4627333"
"618";"Dunkerque";"France";"epoch";"Dunkerque";"51.0347708";"2.3772525"
"620";"Forbach";"France";"epoch";"Forbach";"49.1862822";"6.8958562"
"622";"Grenoble";"France";"epoch";"Grenoble";"45.1875602";"5.7357819"
"623";"La Rochelle";"France";"epoch";"La Rochelle";"46.1591126";"-1.1520434"
"624";"La Teste-de-Buch - Arcachon";"France";"epoch";"La Teste-de-Buch - Arcachon";"44.6316943";"-1.1491319"
"37";"Laval";"France";"epoch";"Laval";"45.60558895";"-73.73441731"
"626";"Le Havre";"France";"epoch";"Le Havre";"49.4938975";"0.1079732"
"627";"Le Mans";"France";"epoch";"Le Mans";"48.0073498";"0.1967379"
"628";"Limoges";"France";"epoch";"Limoges";"45.8354243";"1.2644847"
"629";"Lorient";"France";"epoch";"Lorient";"47.7477336";"-3.3660907"
"630";"Maubeuge";"France";"epoch";"Maubeuge";"50.27964";"3.9674154"
"631";"Meaux";"France";"epoch";"Meaux";"48.9582708";"2.8773541"
"632";"Metz";"France";"epoch";"Metz";"49.1196964";"6.1763552"
"633";"Montauban";"France";"epoch";"Montauban";"44.0175835";"1.3549991"
"635";"Montpellier";"France";"epoch";"Montpellier";"43.6112422";"3.8767337"
"636";"Mulhouse";"France";"epoch";"Mulhouse";"47.7494188";"7.3399355"
"637";"Nancy";"France";"epoch";"Nancy";"48.6937223";"6.1834097"
"638";"Nantes";"France";"epoch";"Nantes";"47.2186371";"-1.5541362"
"639";"Nevers";"France";"epoch";"Nevers";"46.9876601";"3.1577203"
"641";"Niort";"France";"epoch";"Niort";"46.3239455";"-0.4645212"
"643";"Pau";"France";"epoch";"Pau";"43.2957547";"-0.3685668"
"645";"Perpignan";"France";"epoch";"Perpignan";"42.6985304";"2.8953121"
"646";"Poitiers";"France";"epoch";"Poitiers";"46.5802596";"0.340196"
"647";"Quimper";"France";"epoch";"Quimper";"47.9960325";"-4.1024782"
"648";"Reims";"France";"epoch";"Reims";"49.2577886";"4.031926"
"649";"Rennes";"France";"epoch";"Rennes";"48.1113387";"-1.6800198"
"650";"Roanne";"France";"epoch";"Roanne";"46.0345572";"4.0729178"
"651";"Rouen";"France";"epoch";"Rouen";"49.4404591";"1.0939658"
"652";"Saint-Brieuc";"France";"epoch";"Saint-Brieuc";"48.5141594";"-2.7602707"
"654";"Saint-Just-Saint-Rambert";"France";"epoch";"Saint-Just-Saint-Rambert";"45.5005319";"4.2440138"
"655";"Saint-Nazaire";"France";"epoch";"Saint-Nazaire";"45.2566002";"5.8490243"
"656";"Saint-Quentin";"France";"epoch";"Saint-Quentin";"49.8465253";"3.2876843"
"658";"Strasbourg";"France";"epoch";"Strasbourg";"48.584614";"7.7507127"
"659";"Tarbes";"France";"epoch";"Tarbes";"43.232858";"0.0781021"
"660";"Thionville";"France";"epoch";"Thionville";"49.3579272";"6.1675872"
"661";"Toulon";"France";"epoch";"Toulon";"43.1257311";"5.9304919"
"662";"Toulouse";"France";"epoch";"Toulouse";"43.6044622";"1.4442469"
"663";"Tours";"France";"epoch";"Tours";"47.3900474";"0.6889268"
"664";"Troyes";"France";"epoch";"Troyes";"48.2971626";"4.0746257"
"665";"Valence";"France";"epoch";"Valence";"44.9332277";"4.8920811"
"666";"Valenciennes";"France";"epoch";"Valenciennes";"50.3579317";"3.5234846"
"667";"Vichy";"France";"epoch";"Vichy";"46.1239268";"3.4203712"
"668";"Vienne";"France";"epoch";"Vienne";"46.61211655";"0.46540701"
"420";"Akita";"Japan";"epoch";"Akita";"39.6898802";"140.342608"
"421";"Aomori";"Japan";"epoch";"Aomori";"40.886943";"140.590121"
