Priego de Cordoba,-1,-1,-1,-1,-1,-1,95,-1,-1,-1,-1,88,-7
Aller,-1,-1,-1,-1,-1,-1,98,84,-1,-1,-1,-1,-14
Chamartin de la Rosa,-1,-1,-1,-1,-1,-1,-1,22,-1,76,-1,-1,54
Vallecas,-1,-1,-1,-1,-1,-1,-1,25,-1,52,-1,-1,27
Lavadores,-1,-1,-1,-1,-1,-1,-1,56,-1,67,77,-1,21
Plasencia,-1,-1,-1,-1,-1,-1,-1,81,95,-1,-1,-1,14
Tineo,-1,-1,-1,-1,-1,-1,-1,93,-1,-1,58,55,-38
Almendralejo,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,-1,-1,0
Don Benito,-1,-1,-1,-1,-1,-1,-1,97,-1,83,-1,86,-11
Villaviciosa,-1,-1,-1,-1,-1,-1,-1,99,-1,85,63,63,-36
Yecla,-1,-1,-1,-1,-1,-1,-1,-1,63,65,66,78,15
Cangas del Narcea,-1,-1,-1,-1,-1,-1,-1,-1,73,73,65,49,-24
Mahon,-1,-1,-1,-1,-1,-1,-1,-1,78,97,82,80,2
Baza,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,-1,-1,0
Manzanares,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,0
Teruel,-1,-1,-1,-1,-1,-1,-1,-1,85,-1,94,-1,9
Figueres,-1,-1,-1,-1,-1,-1,-1,-1,86,-1,-1,-1,0
Xativa,-1,-1,-1,-1,-1,-1,-1,-1,87,-1,-1,-1,0
Igualada,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,-1,-1,0
Calatayud,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,0
union,-1,-1,-1,-1,-1,-1,-1,-1,91,69,38,34,-57
Bermeo,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,0
Soria,-1,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,-1,0
Tudela,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,-1,0
Ripoll,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,0
Orotava,-1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,-1,0
Adra,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,-1,0
Luarca,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,64,-1,-8
Llanes,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,76,77,2
