la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
Islwyn,30833,53812,71212,72057,69904,66444,65896,65949,64759,65199,56979
Kennet,47101,49724,47015,47984,50860,57581,54773,64487,63343,69778,72868
Kensington and Chelsea,250429,238664,239807,239763,232896,219117,218528,188227,138837,145810,134375
Kerrier,64485,64918,60849,59708,61248,63187,64699,74779,83195,88647,92818
Kettering,45784,48670,47904,50405,51981,57635,59484,65794,71336,77167,81844
Kilmarnock and Loudoun,65703,66575,68390,69189,70468,73826,78945,81010,82154,81116,79562
Kincardine and Deeside,41720,39781,40138,35296,37363,36655,33303,33117,42482,53760,57650
Kings Lynn and West Norfolk,83791,87835,91830,90627,94717,101695,106009,110043,120885,130176,134695
Kingston upon Hull,241736,279734,291420,314288,301767,299594,303984,285971,269539,266256,243589
Kingston upon Thames,56417,68731,74409,93408,104811,146615,146010,140525,132957,137501,146674
Kingswood,26589,28540,29902,32073,35900,45725,67061,77925,84495,90540,97804
Kirkcaldy,84858,104785,113609,113419,117478,125405,139617,144955,142361,148994,146297
Kirklees,319472,348033,353462,354409,353793,353507,352297,369354,371955,381490,388861
Knowsley,20740,22056,24935,27309,48402,92962,156607,194610,172957,156804,151340
Kyle and Carrick,71433,77937,93223,89547,94648,101175,105076,110476,114565,113392,114634
Lambeth,380707,403882,414743,416259,392655,346964,341624,307516,246426,256675,267875
Lanark(now Clydesdale),51759,62787,54431,51123,53323,54415,54625,53524,57554,58094,58584
Lancaster,75037,76723,84808,88229,95013,112001,115018,123663,121311,130098,133914
Langbaurgh,81885,96033,105107,105649,108094,113525,130585,147571,150215,146365,139132
Leeds,584129,612521,621086,652191,656712,696858,714038,738997,704885,717163,691528
Leicester,223970,241980,242415,263691,263911,285626,288065,284208,280324,284718,280163
Leominster,38637,37557,35959,34796,35418,35498,33240,33224,37399,40042,43227
Lewes,33687,35502,37041,40173,42079,49023,56560,72201,78233,88676,92177
Lewisham,237852,270292,286979,326899,305650,303071,290582,268474,231324,240737,247540
Lichfield,33885,37040,36775,38103,41580,49862,51833,80360,88828,93306,93347
Lincoln,51378,60511,66921,67167,68340,70931,77693,74269,76975,84741,85871
Liverpool,711683,753831,803493,853985,815562,789208,745471,609904,509981,480677,438715
Llanelli,53051,68102,79848,84596,81640,80475,79024,76938,75406,75955,75777
Lliw Valley,35008,51811,59428,63229,60355,58409,55652,56283,59800,64233,68323
Lochaber,17021,16290,13765,15499,14959,15613,15910,19193,20422,19260,18740
Luton,42877,57070,64540,73891,84006,113588,140044,161405,164743,174613,183443
Macclesfield,78371,81609,80360,85759,88563,99571,112357,139878,150086,151492,149920
Maidstone,61613,64820,67373,73863,76634,88665,97117,121220,130496,137518,138948
Maldon,22395,24796,26003,25522,26726,28654,31017,40536,47867,52794,58836
Malvern Hills,64684,65098,63923,61137,64801,69342,70464,77052,82213,88758,94063
Manchester,649246,719520,735562,766222,734908,702941,661779,543867,448674,438421,395806
Mansfield,28576,52280,65383,70811,72086,80064,84892,95394,99928,101754,98507
Medina,49561,53117,54051,53358,55034,57693,56316,64423,67919,72081,75820
Meirionnydd,43592,40309,40019,38382,38535,37204,34334,31508,32027,33175,32877
Melton,25206,27881,27053,28191,29325,32730,34435,38894,43363,45652,47866
