,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,,,
Valle de Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Guadalajara,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Puebla - Tlaxcala,2,0,0,-1,0,-1,1,-1,1,0,0,0,1,12,0.083333333
Leon,3,-4,-1,-1,0,2,1,1,1,-1,-1,0,-4,12,-0.333333333
Monterrey,4,1,0,1,0,0,0,0,0,0,0,0,1,12,0.083333333
San Luis Potosi,5,1,-2,0,-1,1,-3,-1,-5,5,-1,0,5,12,0.416666667
Acayucan,6,-34,NA,NA,NA,NA,NA,NA,NA,-41,2,-3,-41,5,-8.2
Merida,7,2,1,0,0,-1,-3,-4,0,3,-1,0,-4,12,-0.333333333
Guanajuato,8,-6,-12,-12,5,-55,19,-11,-12,22,-1,2,-55,12,-4.583333333
Pachuca,9,-3,1,-2,1,-6,-13,-8,-4,5,1,4,-13,12,-1.083333333
Morelia,10,0,-7,1,0,1,-1,-3,-1,0,0,0,-7,12,-0.583333333
Aguascalientes,11,2,0,-1,5,-6,-2,-1,-5,0,2,3,-6,12,-0.5
Oaxaca,12,-1,-7,-1,-3,-5,3,-8,-1,5,2,-1,-8,12,-0.666666667
Queretaro,13,-4,-1,-4,3,-7,-3,-3,15,4,4,0,15,12,1.25
Zacatecas - Guadalupe,14,-6,-16,1,-4,-41,18,25,-51,45,1,-4,-51,12,-4.25
Orizaba,15,-1,3,-1,-1,-6,-6,-8,-3,6,-3,-4,-8,12,-0.666666667
Durango,16,-2,4,-6,0,3,0,-4,12,-18,-2,-1,-18,12,-1.5
Chihuahua,17,6,-4,4,0,-1,1,2,-5,-4,-1,1,6,12,0.5
Torreon - Gomez Palacio,18,12,1,0,-3,5,-2,-1,-16,16,-2,0,16,12,1.333333333
Veracruz,19,11,1,-1,-2,1,-3,1,-15,9,-1,-1,-15,12,-1.25
Puruandiro,20,NA,NA,NA,NA,-8,NA,-19,NA,NA,NA,NA,-19,3,-6.333333333
Rioverde,21,NA,NA,NA,NA,2,NA,NA,NA,-49,-5,-3,-49,5,-9.8
Toluca,22,3,3,1,-2,-5,-1,-8,26,1,0,0,26,12,2.166666667
Celaya,23,0,0,-3,-1,-14,9,-12,23,-1,-3,-2,23,12,1.916666667
Saltillo,24,9,3,0,-1,0,-2,-5,-4,3,0,0,9,12,0.75
Tuxtla Gutierrez,25,-36,3,7,-2,-13,19,-4,17,6,2,2,-36,12,-3
San Juan del Rio,26,NA,NA,NA,NA,-26,NA,NA,NA,-42,11,NA,-42,4,-10.5
Colima - Villa de Alvarez,27,6,2,-10,-6,-29,24,-16,-19,31,4,-7,31,12,2.583333333
Xalapa,28,6,1,2,1,-5,-7,4,3,0,-1,-2,-7,12,-0.583333333
Irapuato,29,4,1,0,3,-4,3,-7,-4,2,0,0,-7,12,-0.583333333
Zapotlanejo,30,NA,NA,NA,NA,-53,NA,-18,NA,NA,NA,NA,-53,3,-17.66666667
Mazatlan,31,5,4,-1,1,-12,10,-4,-4,-1,-3,-1,-12,12,-1
Ciudad Guzman,32,2,0,-3,-3,-50,23,-5,NA,-21,1,-3,-50,11,-4.545454545
Ocotlan,33,-2,-5,-14,-8,-37,25,-9,-16,30,0,-3,-37,12,-3.083333333
Campeche,34,3,2,-1,-4,-17,9,12,-20,-6,-1,2,-20,12,-1.666666667
Tampico,35,2,23,3,1,-4,-4,-1,-3,6,-3,-1,23,12,1.916666667
El Oro de Hidalgo,36,12,-18,-43,NA,NA,NA,NA,NA,NA,NA,NA,-43,4,-10.75
San Juan de los Lagos,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Lagos de Moreno,38,-15,NA,NA,-21,NA,-8,NA,NA,-10,1,1,-21,7,-3
Tepic,39,7,-16,-1,1,-29,44,-5,-7,5,-1,1,44,12,3.666666667
Silao,40,-2,-13,-2,-8,NA,-13,18,-41,NA,NA,NA,-41,8,-5.125
Jiquilpan de Jimenez,41,NA,NA,NA,NA,-50,NA,NA,NA,NA,NA,NA,-50,2,-25
Fresnillo,42,-44,55,-12,13,-29,6,-21,13,-11,-13,2,55,12,4.583333333
Huamantla,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Hidalgo del Parral,44,3,2,7,1,-17,0,-10,-39,19,0,-6,-39,12,-3.25
Matehuala,45,11,-11,-14,8,-50,9,NA,NA,NA,NA,NA,-50,7,-7.142857143
San Andres Tuxtla,46,-16,-6,-8,-11,NA,-4,NA,NA,NA,NA,NA,-16,6,-2.666666667
San Cristobal de las Casas,47,2,-8,12,NA,NA,-40,NA,NA,-7,NA,NA,-40,6,-6.666666667
Salamanca,48,1,-9,-11,-10,-19,37,7,-1,-14,-5,-1,37,12,3.083333333
Izucar de Matamoros,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Heroica Zamora,50,13,-10,-5,-6,-29,26,4,-8,11,-4,0,-29,12,-2.416666667
Valle de Santiago,51,0,NA,NA,-25,NA,-10,NA,12,NA,NA,NA,-25,5,-5
Sahuayo,52,NA,NA,NA,-32,NA,11,NA,NA,NA,NA,NA,-32,3,-10.66666667
