,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Fuji,91.0,254027.0,41.0,354450.0,40.0,339655.0,40.0,314025.0,35.0,269547.0,75.0,124023.0,85.0,81546.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sōka,92.0,243855.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Matsumoto,93.0,243037.0,78.0,209064.0,79.0,200766.0,79.0,192175.0,75.0,162980.0,61.0,148751.0,42.0,140188.0,55.0,72808.0,38.0,72130.0,36.0,50063.0,42.0,39793.0,-1.0,0.0
Kure,94.0,239973.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Neyagawa,95.0,238204.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hachinohe,96.0,237615.0,68.0,241962.0,67.0,241147.0,62.0,238297.0,57.0,208817.0,45.0,174301.0,58.0,104395.0,54.0,73539.0,53.0,52979.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Saga,97.0,237506.0,99.0,168029.0,93.0,170046.0,93.0,163852.0,86.0,143554.0,70.0,129966.0,53.0,115788.0,84.0,50450.0,57.0,42007.0,61.0,33565.0,52.0,36721.0,40.0,35111.0
Kasukabe,98.0,237171.0,81.0,203419.0,86.0,188874.0,95.0,155672.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Chigasaki,99.0,235081.0,74.0,220839.0,78.0,201712.0,87.0,171001.0,94.0,129607.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Yamato,100.0,228186.0,77.0,212862.0,83.0,194924.0,89.0,167949.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Takarazuka,101.0,225700.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hachioji,-1.0,0.0,20.0,536007.0,21.0,466320.0,29.0,387265.0,43.0,253508.0,53.0,158451.0,80.0,82541.0,53.0,75208.0,-1.0,0.0,51.0,39001.0,-1.0,0.0,-1.0,0.0
Oita,-1.0,0.0,29.0,436539.0,33.0,408531.0,33.0,360527.0,39.0,260656.0,72.0,124863.0,68.0,94599.0,51.0,77080.0,49.0,57398.0,44.0,43119.0,46.0,39000.0,-1.0,0.0
