,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
San Francisco del Rincon,58.0,10903.0,57.0,11470.0,60.0,11754.0,68.0,12038.0,78.0,12017.0,-1.0,0.0,88.0,20886.0,-1.0,0.0,-1.0,0.0,73.0,114034.0,70.0,145017.0,66.0,182365.0
Montemorelos,59.0,10692.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,70.0,27381.0,100.0,18511.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hermosillo,60.0,10639.0,39.0,14604.0,43.0,14733.0,31.0,20075.0,44.0,18697.0,32.0,43517.0,18.0,96141.0,16.0,176621.0,11.0,432611.0,24.0,448966.0,22.0,609829.0,22.0,784342.0
Rio Grande,61.0,10572.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,24254.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,57993.0,-1.0,0.0,-1.0,0.0
San Miguel de Allende,62.0,10554.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,35.0,41643.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Villahermosa,63.0,10552.0,52.0,12323.0,35.0,15833.0,48.0,15405.0,29.0,25108.0,40.0,35470.0,35.0,51625.0,33.0,99604.0,27.0,294883.0,26.0,437567.0,23.0,600580.0,23.0,755425.0
Metepec,64.0,10538.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,95.0,83328.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Salvatierra,65.0,10444.0,60.0,10268.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,27.0,49154.0,96.0,19025.0,-1.0,0.0,82.0,96581.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tehuantepec - Salina Cruz,66.0,10440.0,28.0,18582.0,49.0,13820.0,34.0,25033.0,26.0,28604.0,57.0,30390.0,60.0,32176.0,43.0,80915.0,71.0,105284.0,66.0,129654.0,67.0,152196.0,71.0,168618.0
Culiacan,67.0,10428.0,46.0,13508.0,32.0,16073.0,37.0,18205.0,37.0,22049.0,24.0,49997.0,21.0,84639.0,17.0,168013.0,7.0,560011.0,15.0,601123.0,16.0,745537.0,17.0,858638.0
Ciudad Victoria,68.0,10188.0,54.0,12130.0,28.0,17200.0,39.0,17745.0,41.0,19541.0,49.0,31806.0,36.0,50742.0,40.0,83918.0,52.0,162822.0,51.0,207903.0,50.0,263063.0,48.0,321953.0
Papantla de Olarte,69.0,10100.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
La Barca,70.0,10083.0,-1.0,0.0,-1.0,0.0,61.0,13456.0,67.0,13495.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
La Piedad Cavadas,71.0,10068.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tenancingo de Degollado,72.0,9953.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Uruapan del Progreso,73.0,9844.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cuernavaca,74.0,9625.0,50.0,12817.0,74.0,7111.0,77.0,8768.0,61.0,19620.0,56.0,30668.0,54.0,35893.0,25.0,134115.0,16.0,400247.0,16.0,652553.0,12.0,884696.0,12.0,1022752.0
Sinaloa de Leyva,75.0,9567.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,33.0,42852.0,-1.0,0.0,67.0,50368.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ciudad Jimenez,76.0,9357.0,-1.0,0.0,-1.0,0.0,18.0,39701.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Comitan de Dominguez,77.0,9345.0,63.0,10094.0,67.0,9419.0,78.0,8744.0,96.0,8780.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,70311.0,92.0,97537.0
Atlixco,78.0,9259.0,27.0,20023.0,33.0,16038.0,66.0,12054.0,49.0,17010.0,85.0,23718.0,65.0,30427.0,76.0,44592.0,87.0,92790.0,86.0,74230.0,90.0,82840.0,96.0,86890.0
Tulancingo de Bravo,79.0,9083.0,66.0,10072.0,64.0,11378.0,65.0,12684.0,72.0,12685.0,-1.0,0.0,70.0,26778.0,82.0,36855.0,-1.0,0.0,46.0,222614.0,47.0,288275.0,60.0,239579.0
