,city,2011,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1951,city.7,1940,city.8,1930,city.9,1921,city.10,1910,city.11,1900
Crotone,96.0,61798.0,94.0,60010.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pomezia,97.0,61106.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Caltanissetta,98.0,60267.0,91.0,61438.0,80.0,62905.0,87.0,57757.0,92.0,52100.0,69.0,51785.0,63.0,60700.0,63.0,50596.0,71.0,44162.0,36.0,60169.0,59.0,41333.0,46.0,43322.0
Matera,99.0,59796.0,97.0,57785.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Molfetta,-1.0,0.0,87.0,62546.0,79.0,66754.0,74.0,64778.0,73.0,65449.0,59.0,61259.0,68.0,56002.0,66.0,49404.0,68.0,47467.0,58.0,45390.0,53.0,43313.0,55.0,40199.0
Benevento,-1.0,0.0,89.0,61791.0,-1.0,0.0,-1.0,0.0,95.0,49006.0,92.0,41552.0,83.0,47624.0,88.0,37977.0,89.0,36920.0,81.0,27593.0,-1.0,0.0,-1.0,0.0
Portici,-1.0,0.0,93.0,60218.0,76.0,67828.0,62.0,79377.0,64.0,72340.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Manfredonia,-1.0,0.0,98.0,57704.0,92.0,58209.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mestre,-1.0,0.0,-1.0,0.0,18.0,181972.0,18.0,198088.0,-1.0,0.0,19.0,138801.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
San Giorgio a Cremano,-1.0,0.0,-1.0,0.0,82.0,62298.0,80.0,61703.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ercolano,-1.0,0.0,-1.0,0.0,85.0,60911.0,89.0,57581.0,89.0,52546.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
San Remo,-1.0,0.0,-1.0,0.0,88.0,59214.0,84.0,59931.0,93.0,51040.0,98.0,40103.0,-1.0,0.0,97.0,31801.0,95.0,31650.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Moncalieri,-1.0,0.0,-1.0,0.0,91.0,58438.0,85.0,59369.0,87.0,53046.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Siena,-1.0,0.0,-1.0,0.0,93.0,57798.0,93.0,55060.0,83.0,54540.0,74.0,49402.0,74.0,52692.0,69.0,48739.0,67.0,47735.0,60.0,43972.0,58.0,41740.0,88.0,28499.0
Chieti,-1.0,0.0,-1.0,0.0,95.0,57581.0,-1.0,0.0,99.0,47064.0,-1.0,0.0,-1.0,0.0,98.0,30303.0,93.0,34121.0,80.0,29206.0,-1.0,0.0,91.0,26499.0
Agrigento,-1.0,0.0,-1.0,0.0,99.0,55283.0,99.0,51325.0,-1.0,0.0,82.0,46990.0,-1.0,0.0,95.0,33058.0,98.0,30099.0,79.0,29805.0,-1.0,0.0,98.0,25064.0
Torre Annunziata,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,60558.0,76.0,62621.0,60.0,59473.0,76.0,52098.0,30.0,72976.0,36.0,65720.0,54.0,48533.0,87.0,31346.0,97.0,25111.0
