,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,,,
Kelowna,NA,NA,-1,9,NA,NA,NA,33,0,2,8,9,33,7,4.714285714
Trail,NA,NA,NA,-42,-20,NA,NA,NA,NA,NA,NA,NA,-42,2,-21
Yorkton,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,11,1,11
Prince George,NA,NA,NA,-5,NA,NA,NA,13,4,-14,1,31,31,6,5.166666667
Abbotsford,NA,NA,NA,-39,NA,NA,NA,NA,-4,33,21,9,-39,5,-7.8
Timmins,NA,NA,NA,NA,-8,-19,5,-30,-7,-17,NA,31,31,7,4.428571429
Granby,NA,NA,NA,NA,9,6,-2,-22,-15,1,0,46,46,8,5.75
Thetford Mines,NA,NA,NA,NA,-19,-12,5,NA,NA,NA,NA,NA,-19,3,-6.333333333
Corner Brook,NA,NA,NA,NA,5,3,-9,NA,NA,NA,NA,NA,-9,3,-3
Cap-de-la-Madeleine,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2,1
Forest Hill,NA,NA,NA,NA,-3,-5,NA,NA,NA,NA,NA,NA,-5,2,-2.5
Victoriaville,NA,NA,NA,NA,-1,-14,6,NA,NA,NA,NA,13,-14,4,-3.5
New Toronto,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,1,-10
New Waterford,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,1,-2
North Vancouver,NA,NA,NA,NA,-4,14,-5,-19,36,NA,1,NA,36,6,6
Rouyn-Noranda,NA,NA,NA,NA,-28,4,29,NA,NA,NA,NA,NA,29,3,9.666666667
Grand'Mere,NA,NA,NA,NA,-36,NA,NA,NA,NA,NA,NA,NA,-36,1,-36
Mimico,NA,NA,NA,NA,-4,NA,-1,NA,NA,NA,NA,NA,-4,2,-2
Eastview,NA,NA,NA,NA,-1,21,1,NA,NA,NA,NA,NA,21,3,7
La Tuque,NA,NA,NA,NA,-23,NA,NA,NA,NA,NA,NA,NA,-23,1,-23
North York,NA,NA,NA,NA,NA,91,NA,2,-2,-1,NA,NA,91,4,22.75
Scarborough,NA,NA,NA,NA,NA,-1,NA,0,0,0,NA,NA,-1,4,-0.25
Etobicoke,NA,NA,NA,NA,NA,-2,NA,-1,0,-5,NA,NA,-5,4,-1.25
East York,NA,NA,NA,NA,NA,-1,NA,-12,-6,-13,NA,NA,-13,4,-3.25
Saint John,NA,NA,NA,NA,NA,26,NA,-6,-5,-4,-4,13,26,6,4.333333333
Saanich,NA,NA,NA,NA,NA,-4,NA,-17,1,-3,3,NA,-17,5,-3.4
Jacques-Cartier,NA,NA,NA,NA,NA,9,-2,NA,NA,NA,NA,NA,9,2,4.5
Saint James-Assiniboia,NA,NA,NA,NA,NA,-8,NA,3,NA,NA,NA,NA,-8,2,-4
Richmond,NA,NA,NA,NA,NA,-5,NA,-3,14,6,9,NA,14,5,2.8
Montreal-Nord,NA,NA,NA,NA,NA,-27,NA,NA,NA,NA,NA,NA,-27,1,-27
La Salle,NA,NA,NA,NA,NA,-25,NA,33,-7,-13,NA,NA,33,4,8.25
East Kildonan,NA,NA,NA,NA,NA,-14,16,NA,NA,NA,NA,NA,16,2,8
Leaside,NA,NA,NA,NA,NA,-23,NA,NA,NA,NA,NA,NA,-23,1,-23
Mont-Royal,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,-6,1,-6
West Kildonan,NA,NA,NA,NA,NA,-3,9,NA,NA,NA,NA,NA,9,2,4.5
Pointe-Claire,NA,NA,NA,NA,NA,-10,17,NA,NA,NA,NA,NA,17,2,8.5
Oak Bay,NA,NA,NA,NA,NA,-18,NA,NA,NA,NA,NA,NA,-18,1,-18
Rimouski,NA,NA,NA,NA,NA,-1,17,NA,NA,NA,NA,22,22,3,7.333333333
Burlington,NA,NA,NA,NA,NA,NA,23,-1,4,-1,1,NA,23,5,4.6
Sainte-Foy,NA,NA,NA,NA,NA,NA,-25,10,-9,-14,0,NA,-25,5,-5
Longueuil,NA,NA,NA,NA,NA,NA,-6,44,3,-3,-7,NA,44,5,8.8
Alma,NA,NA,NA,NA,NA,NA,-49,NA,NA,NA,NA,NA,-49,1,-49
Transcona,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,-5,1,-5
