,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Aviles,62.0,82938.0,52.0,83185.0,49.0,85351.0,45.0,87996.0,40.0,82483.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pontevedra,63.0,82346.0,59.0,74942.0,56.0,71491.0,58.0,64184.0,63.0,52609.0,57.0,47916.0,57.0,43223.0,58.0,37021.0,56.0,30828.0,59.0,26955.0,56.0,24290.0,58.0,22866.0
Melilla,64.0,81323.0,64.0,66411.0,72.0,56615.0,71.0,53593.0,53.0,60892.0,50.0,54720.0,24.0,81280.0,17.0,77281.0,31.0,43154.0,61.0,26090.0,98.0,9027.0,-1.0,0.0
Palencia,65.0,81089.0,54.0,79797.0,53.0,77863.0,52.0,71716.0,59.0,56801.0,54.0,51120.0,59.0,41819.0,65.0,34378.0,68.0,23940.0,91.0,19770.0,84.0,17685.0,-1.0,0.0
El Ejido,66.0,80839.0,75.0,57877.0,95.0,41374.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Chiclana de la Frontera,67.0,80769.0,70.0,61028.0,87.0,46862.0,93.0,36492.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Getxo,68.0,80252.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Orihuela,69.0,79889.0,82.0,54390.0,83.0,49475.0,80.0,44776.0,68.0,44811.0,60.0,44847.0,54.0,45099.0,48.0,43669.0,43.0,38700.0,32.0,37598.0,28.0,35222.0,35.0,28390.0
Gandia,70.0,77595.0,72.0,59850.0,80.0,51806.0,77.0,48558.0,85.0,30752.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Velez-Malaga,71.0,76922.0,77.0,57142.0,81.0,50999.0,84.0,41937.0,74.0,38532.0,73.0,35128.0,75.0,31618.0,76.0,29636.0,61.0,27654.0,68.0,24906.0,55.0,24390.0,50.0,23585.0
Manresa,72.0,76311.0,66.0,63981.0,60.0,66320.0,53.0,67007.0,57.0,58176.0,52.0,52290.0,63.0,40518.0,59.0,36438.0,52.0,32200.0,54.0,27328.0,74.0,22200.0,53.0,23465.0
Ciudad Real,73.0,75071.0,67.0,63251.0,71.0,57030.0,76.0,50151.0,71.0,41014.0,69.0,36967.0,72.0,34205.0,68.0,32937.0,69.0,23414.0,90.0,20031.0,-1.0,0.0,-1.0,0.0
Rubi,74.0,74321.0,69.0,61159.0,82.0,50405.0,81.0,43839.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mijas,75.0,74028.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Rivas-Vaciamadrid,76.0,73865.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ferrol,77.0,71690.0,55.0,77950.0,51.0,83045.0,46.0,87691.0,41.0,80242.0,41.0,72180.0,27.0,77083.0,28.0,59830.0,47.0,35613.0,47.0,30429.0,46.0,26370.0,42.0,26351.0
Majadahonda,78.0,69587.0,91.0,50683.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Valdemoro,79.0,69354.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ponferrada,80.0,68383.0,68.0,62175.0,67.0,59948.0,70.0,53763.0,-1.0,0.0,68.0,37170.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Benidorm,81.0,68045.0,87.0,51873.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Sanlucar de Barrameda,82.0,67232.0,71.0,60254.0,74.0,56006.0,78.0,48390.0,90.0,29522.0,89.0,26550.0,69.0,35408.0,69.0,32808.0,63.0,26924.0,56.0,27104.0,72.0,22388.0,48.0,23764.0
Paterna,83.0,66853.0,-1.0,0.0,96.0,41081.0,97.0,32613.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Molina de Segura,84.0,66771.0,-1.0,0.0,99.0,37806.0,98.0,31515.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Santa Lucia de Tirajana,85.0,66725.0,97.0,47652.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Torremolinos,86.0,66270.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Vilanova i la Geltrœ,87.0,66074.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
