,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
a19,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,1,-1,0,-1,0,-1,0
a20,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,1,-1,0,-1,0,-1,0
a21,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,1,-1,0,-1,0,-1,0
a22,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,1,-1,0,-1,0,-1,0
a23,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,1,-1,0,-1,0,-1,0
a24,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,1,-1,0,-1,0,-1,0
a25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,1,-1,0,-1,0,-1,0
a26,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,1,-1,0,-1,0,-1,0
a27,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,1,-1,0,-1,0,-1,0
a28,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,1,-1,0,-1,0,-1,0
a29,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,1,-1,0,-1,0,-1,0
a30,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,1,-1,0,-1,0,-1,0
a31,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,1,-1,0,-1,0,-1,0
a32,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,1,-1,0,-1,0,-1,0
a33,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,1,-1,0,-1,0,-1,0
a34,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,1,-1,0,-1,0,-1,0
