cityName,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2001,city.11,2011,netDistance
Granby,-1,0,-1,0,-1,0,-1,0,56,14279,54,26167,55,31520,77,39395,92,38190,91,53430,92,55460,47,82445,-48
Thetford Mines,-1,0,-1,0,-1,0,-1,0,61,12786,75,19388,69,25891,-1,0,-1,0,-1,0,-1,0,-1,0,0
Corner Brook,-1,0,-1,0,-1,0,-1,0,63,12571,62,23125,70,25445,-1,0,-1,0,-1,0,-1,0,-1,0,0
Cap-de-la-Madeleine,-1,0,-1,0,-1,0,-1,0,69,12035,-1,0,67,26915,-1,0,-1,0,-1,0,-1,0,-1,0,0
Forest Hill,-1,0,-1,0,-1,0,-1,0,70,11858,76,19097,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Victoriaville,-1,0,-1,0,-1,0,-1,0,76,10462,91,16123,84,21785,-1,0,-1,0,-1,0,-1,0,78,41925,-79
New Toronto,-1,0,-1,0,-1,0,-1,0,81,9584,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
New Waterford,-1,0,-1,0,-1,0,-1,0,83,9323,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
North Vancouver,-1,0,-1,0,-1,0,-1,0,87,8932,74,19831,78,23730,98,31809,63,65400,-1,0,62,82310,-1,0,0
Rouyn-Noranda,-1,0,-1,0,-1,0,-1,0,88,8803,85,16875,57,30203,-1,0,-1,0,-1,0,-1,0,-1,0,0
Grand'Mere,-1,0,-1,0,-1,0,-1,0,91,8627,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Mimico,-1,0,-1,0,-1,0,-1,0,95,8140,-1,0,96,18260,-1,0,-1,0,-1,0,-1,0,-1,0,0
Eastview,-1,0,-1,0,-1,0,-1,0,97,8040,77,19073,75,24693,-1,0,-1,0,-1,0,-1,0,-1,0,0
La Tuque,-1,0,-1,0,-1,0,-1,0,98,7942,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
North York,-1,0,-1,0,-1,0,-1,0,-1,0,8,168622,-1,0,6,504537,8,559591,9,562694,-1,0,-1,0,0
Scarborough,-1,0,-1,0,-1,0,-1,0,-1,0,10,139181,-1,0,10,332153,10,443446,10,524616,-1,0,-1,0,0
Etobicoke,-1,0,-1,0,-1,0,-1,0,-1,0,12,103104,-1,0,13,282232,13,298727,18,310071,-1,0,-1,0,0
East York,-1,0,-1,0,-1,0,-1,0,-1,0,19,69479,-1,0,31,104993,37,102075,51,102754,-1,0,-1,0,0
Saint John,-1,0,-1,0,-1,0,-1,0,-1,0,24,51906,-1,0,30,106704,35,114012,39,125068,43,125856,31,129827,-32
Saanich,-1,0,-1,0,-1,0,-1,0,-1,0,36,38010,-1,0,51,65044,51,78706,54,95670,51,103654,-1,0,0
Jacques-Cartier,-1,0,-1,0,-1,0,-1,0,-1,0,43,33091,44,40821,-1,0,-1,0,-1,0,-1,0,-1,0,0
Saint James-Assiniboia,-1,0,-1,0,-1,0,-1,0,-1,0,53,26265,-1,0,48,70841,-1,0,-1,0,-1,0,-1,0,0
Richmond,-1,0,-1,0,-1,0,-1,0,-1,0,55,25943,-1,0,56,62141,42,96298,36,126678,27,164345,-1,0,0
Montreal-Nord,-1,0,-1,0,-1,0,-1,0,-1,0,56,25406,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
La Salle,-1,0,-1,0,-1,0,-1,0,-1,0,79,18922,-1,0,46,72915,54,76323,67,73841,-1,0,-1,0,0
East Kildonan,-1,0,-1,0,-1,0,-1,0,-1,0,80,18671,65,28178,-1,0,-1,0,-1,0,-1,0,-1,0,0
Leaside,-1,0,-1,0,-1,0,-1,0,-1,0,87,16596,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Mont-Royal,-1,0,-1,0,-1,0,-1,0,-1,0,93,15947,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
West Kildonan,-1,0,-1,0,-1,0,-1,0,-1,0,96,15201,86,21052,-1,0,-1,0,-1,0,-1,0,-1,0,0
Pointe-Claire,-1,0,-1,0,-1,0,-1,0,-1,0,97,15199,79,22893,-1,0,-1,0,-1,0,-1,0,-1,0,0
Oak Bay,-1,0,-1,0,-1,0,-1,0,-1,0,98,14757,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Rimouski,-1,0,-1,0,-1,0,-1,0,-1,0,99,14300,81,22452,-1,0,-1,0,-1,0,-1,0,66,54630,-67
Burlington,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,38,47026,38,86182,34,114911,35,129615,34,150836,-1,0,0
Sainte-Foy,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,60,29724,49,67813,59,68978,73,71162,73,72547,-1,0,0
Longueuil,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,24142,34,97532,31,124342,34,129918,41,128016,-1,0,0
Alma,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,19962,-1,0,-1,0,-1,0,-1,0,-1,0,0
Transcona,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,18286,-1,0,-1,0,-1,0,-1,0,-1,0,0
Laval,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,15,228150,17,268318,17,314426,15,343005,-1,0,0
Mississauga,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,20,172433,11,315121,11,463443,8,612925,-1,0,0
Burnaby,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,26,124246,30,136552,29,158943,22,193954,-1,0,0
