CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,GCPNT_LATfe,GCPNT_LONfe,SovietEpoch,GCPNT_LATfe,GCPNT_LONfe
,,,Oakville,43.447436,-79.666672,,,,Manresa,41.7288939,1.8286765,,,,Perugia,43.1119613,12.3890104,,,,La Piedad Cavadas,20.1716605,-102.0301081,,,,Walsall,52.5847949,-1.9822687,,,,,,,,,,Irvine,33.6856969,-117.8259819,,,,Epinal,48.1747684,6.4503643,,,,Kursk,51.71666667,36.18333333
,,,Oshawa,43.91768,-78.862953,,,,Mataro,41.5398348,2.4448926,,,,Pesaro,43.9098114,12.9131228,,,,Linares,24.85300565,-99.4103418,,,,Wirral,53.3409714,-3.0500916,,,,,,,,,,Jacksonville,30.3321838,-81.655651,,,,Forbach,49.1862822,6.8958562,,,,Liepeja,56.52,21.02
,,,Outremont,45.5186167,-73.6068856,,,,Melilla,35.2918698,-2.9409026,,,,Pescara,42.469613,14.2059269,,,,Los Mochis,25.78453485,-109.0032924,,,,Wolverhampton,52.5847651,-2.127567,,,,,,,,,,Jersey City,40.7281575,-74.0776417,,,,Frejus,43.4330308,6.7360182,,,,Lipetsk,52.61666667,39.6
,,,Peterborough,44.3048009,-78.3199496,,,,Mieres,42.1244124,2.6401122,,,,Piacenza,45.0534751,9.6947461,,,,Matehuala,23.52290375,-100.604046,,,,,,,,,,,,,,,,Kansas City,39.100105,-94.5781416,,,,Grenoble,45.1875602,5.7357819,,,,Lviv,49.84,24.03
,,,Prince George,53.9128645,-122.7453699,,,,Orihuela,38.0906911,-0.946613,,,,Pisa,43.7159395,10.4018624,,,,Mazatlan,23.2313053,-106.4153144,,,,,,,,,,,,,,,,Knoxville,35.9603948,-83.9210261,,,,La Rochelle,46.1591126,-1.1520434,,,,Mahachkala,42.98333333,47.48333333
,,,Regina,50.44876,-104.61731,,,,Ourense,42.1968459,-7.6114105,,,,Pistoia,43.9336213,10.9174238,,,,Merida,20.9670759,-89.6237402,,,,,,,,,,,,,,,,Las Vegas,36.1662859,-115.149225,,,,La Teste-de-Buch - Arcachon,44.6316943,-1.1491319,,,,Mikolaiv,49.52,23.98
,,,Richmond,49.163168,-123.137414,,,,Oviedo,43.3533424,-5.87951434,,,,Prato,43.880598,11.0969262,,,,Mexicali,32.6248622,-115.448325,,,,,,,,,,,,,,,,Lexington-Fayette,38.0464066,-84.4970393,,,,Laval,48.0710377,-0.7723499,,,,Minsk,53.9,27.57
,,,Saanich,48.4594315,-123.3764946,,,,Palencia,42.0108856,-4.5328735,,,,Ravenna,44.4161414,12.2017617,,,,Minatitlan,17.7052686,-94.38617333,,,,,,,,,,,,,,,,Lincoln,40.8,-96.667821,,,,Le Havre,49.4938975,0.1079732,,,,Mogilev,53.91,30.34
,,,Saguenay,48.405959,-71.069183,,,,Palma de Mallorca,39.5695818,2.6500745,,,,Reggio di Calabria,38.1035389,15.6397556,,,,Monclova,26.8999988,-101.4171173,,,,,,,,,,,,,,,,Long Beach,33.7690164,-118.1916048,,,,Le Mans,48.0073498,0.1967379,,,,Murmansk,68.96666667,33.08333333
,,,Saint Boniface,46.505246,-72.828712,,,,Palmas de Gran Canaria,28.128874,-15.4349448,,,,Reggio nellEmilia,44.6978446,10.6304958,,,,Morelia,19.7027116,-101.1923818,,,,,,,,,,,,,,,,Louisville,38.2542376,-85.759407,,,,Limoges,45.8354243,1.2644847,,,,Nberezhnye Tchelny,55.56666667,71.35
