cityName,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Rubi,74,74321,69,61159,82,50405,81,43839,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mijas,75,74028,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rivas-Vaciamadrid,76,73865,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ferrol,77,71690,55,77950,51,83045,46,87691,41,80242,41,72180,27,77083,27,59830,47,35613,47,30429,46,26370,42,26351
Majadahonda,78,69587,91,50683,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Valdemoro,79,69354,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ponferrada,80,68383,68,62175,67,59948,70,53763,-1,0,68,37170,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Benidorm,81,68045,87,51873,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sanlucar de Barrameda,82,67232,71,60254,74,56006,78,48390,90,29522,89,26550,69,35408,68,32808,63,26924,56,27104,72,22388,48,23764
Paterna,83,66853,-1,0,96,41081,97,32613,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Molina de Segura,84,66771,-1,0,99,37806,98,31515,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Santa Lucia de Tirajana,85,66725,97,47652,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Torremolinos,86,66270,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Vilanova i la Geltru,87,66074,84,54230,90,45864,82,43833,81,35784,93,25774,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sagunt,88,65813,80,56471,75,55457,67,55294,-1,0,65,40340,94,26952,-1,0,-1,0,-1,0,-1,0,-1,0
Zamora,89,65417,65,64845,64,64476,63,58560,65,48783,61,43830,66,38307,70,32500,73,21670,96,18007,87,16089,89,16438
Linea de la Concepcion,90,65412,-1,0,-1,0,-1,0,62,52760,58,47430,43,55110,61,35196,48,35481,20,63232,36,30073,37,27758
Viladecans,91,64999,78,56841,86,48294,83,43358,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Estepona,92,64468,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Castelldefels,93,61858,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Benalmadena,94,61394,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
