Yokkaichi	291110	Koshigaya	285370	Sasebo	251238	Muroran	208624	Hirosaki	152152	Hachinohe	104395	Yamagata	69249			Fukushima	35834	Nakatsu	15534		
Morioka	288829	Fukushima	277591	Tokushima	249334	Yamagata	204144	Kushiro	150671	Ichikawa	102587	Tsu	68641			Yokkaichi	35216	Nanao	9071		
Hakodate	287664	Yokkaichi	274271	Fukui	241046	Miyazaki	202982	Fukui	149815	Funabashi	100395	Nagaoka	67035			Saga	33565	Nakatsugawa	3317		
Maebashi	284211	Tokushima	263440	Kashiwa	239291	Machida	202830	Matsumoto	148751	Yûbari	99536	Miyazaki	66508			Hirosaki	32875				
Ichihara	278293	Ichihara	257741	Hachinohe	238297	Fukui	200588	Nagaoka	148340	Takasaki	97941	Mito	66391			Ôgaki	28301				
Tokushima	268262	Fukui	252756	Yamagata	237069	Toyota	197294	Muroran	145749	Fukushima	97616	Naha	65844								
Yamagata	255454	Yamagata	249596	Tokorozawa	236521	Morioka	196083	Takasaki	142274	Tsu	96436	Yûbari	65004								
Hiratsuka	254687	Hiratsuka	246060	Morioka	229134	Kurume	194208	Fukuyama	140650	Okazaki	96069	Beppu	64743								
Fukui	252333	Sasebo	244765	Ômuta	224537	Tokuyama	193824	Mito	139489	Tottori	95850	Yokkaichi	63754								
Mito	246704	Hachinohe	241147	Koshigaya	223285	Hitachi	193241	Fukushima	139077	Nagaoka	94856	Kushiro	63204								
Hachinohe	241962	Takasaki	236566	Takasaki	221471	Takasaki	193127	Takaoka	135239	Ôita	94599	Chôshi	61228								
Sasebo	240897	Morioka	235468	Kurume	217054	Kushiro	191959	Funabashi	135052	Kushiro	93444	Takaoka	59497								
Takasaki	239902	Mito	235048	Ichihara	216364	Kôfu	182792	Saga	129966	Beppu	93008	Hôfu	58982								
Kurume	236533	Kurume	228324	Mito	215700	Mito	173866	Niihama	125711	Maizuru	91933	Miyakonojô	58898								
Fuchû	226876	Tokuyama	211527	Tokuyama	215337	Kawagoe	171016	Ôita	124863	Ashikaga	89855	Ichikawa	58149								
Sôka	225071	Ômuta	210096	Kushiro	214728	Hiratsuka	163764	Odawara	124851	Tagawa	88478	Kôriyama	57485								
Chigasaki	220839	Fuchû	209459	Hiratsuka	214372	Fuchû	163288	Fujisawa	124698	Nobeoka	88111	Fukuyama	56753								
Atsugi	217453	Sôka	206188	Muroran	206774	Matsumoto	162980	Fuji	124023	Kamakura	85492	Ôgaki	56186								
Ageo	212958	Kushiro	205667	Hitachi	204695	Nagaoka	162357	Kiryû	123092	Fujisawa	84686	Imabari	55604								
Yamato	212862	Hitachi	202139	Kôfu	199381	Takaoka	159705	Nobeoka	122586	Yonago	83655	Matsue	55573								
Matsumoto	209064	Chigasaki	201712	Fuchû	192272	Hirosaki	157626	Jôetsu	116600	Hôfu	83650	Ise	52684								
Chôfu	204857	Matsumoto	200766	Matsumoto	192175	Chôfu	157562	Ashikaga	111022	Matsue	83283	Uwajima	52176								
Tokuyama	204254	Kôfu	200651	Sôka	186614	Odawara	156775	Tsu	110903	Hachiôji	82541	Odawara	51859								
Kasukabe	203419	Chôfu	197733	Chôfu	180516	Ashikaga	156042	Hiratsuka	108342	Chôshi	82437	Hirosaki	51577								
Odawara	200206	Atsugi	197341	Nagaoka	180321	Ichihara	156041	Yûbari	108070	Imari	82326	Iwakuni	51001								
Kôfu	196252	Yamato	194924	Odawara	177548	Mitaka	155746	Beppu	107735	Jôetsu	82198	Funabashi	50919								
Ômuta	195590	Ageo	194918	Hirosaki	175329	Ube	152902	Kawagoe	107574	Ôgaki	82191	Saga	50450								
Hitachi	193470	Odawara	193443	Takaoka	175158	Kashiwa	150688	Matsue	106545	Fuji	81546	Maizuru	49872								
Nagaoka	193418	Kasukabe	188874	Kamakura	172603	Saga	143554	Tottori	104846	Odawara	79500	Tottori	49317								
Kushiro	191738	Nagaoka	185949	Chigasaki	171001	Koshigaya	139484	Kôriyama	102693	Tsuyama	78673	Kumagaya	48961								
Suzuka	186260	Takaoka	175590	Ube	169024	Kamakura	139278	Ôgaki	102540	Yamaguchi	77877	Yonezawa	48848								
Kodaira	178636	Ube	175156	Yamato	167949	Kodaira	137452	Sagamihara	101791	Mito	77553	Onomichi	48842								
Hirosaki	177138	Kamakura	174354	Ageo	166281	Tokorozawa	136679	Obihiro	100992	Suzuka	77037	Fukushima	48398								
Ube	174452	Suzuka	174164	Ashikaga	165813	Ôgaki	134945	Yatsushiro	100647	Naha	75779	Ashikaga	48324								
Obihiro	173095	Muroran	173534	Mitaka	164518	Kiryû	133193	Iwakuni	100322	Onomichi	75470	Aizuwakamatsu	48153								
Takaoka	172253	Saga	170046	Saga	163852	Obihiro	131668	Imabari	100135	Miyakonojô	75133	Yonago	47200								
Tomakomai	172133	Ashikaga	167708	Suzuka	156368	Chigasaki	129607	Maizuru	99699	Niihama	73727	Nôgata	47016								
Mitaka	171621	Obihiro	167475	Kasukabe	155672	Nobeoka	128361	Aizuwakamatsu	99597	Kôriyama	70948	Kanoya	46804								
Sakura	170926	Hino	165965	Kodaira	154682	Niihama	126095	Ise	99086	Kanuma	70505	Iizuka	46783								
Yachiyo	168837	Mitaka	165644	Obihiro	153998	Tsu	125230	Kamakura	98627	Himi	70123	Seto	45887								
Hadano	168151	Kodaira	164079	Tomakomai	152051	Beppu	123850	Matsusaka	98452	Kumagaya	69793	Kamaishi	42246								
Saga	168029	Tomakomai	160190	Hino	145452	Sôka	123327	Kumagaya	98201	Yatsushiro	69677	Kawagoe	38432								
Hino	167924	Sayama	157308	Atsugi	145414	Suzuka	121285	Mitaka	98021	Ise	69536	Yamaguchi	38230								
Kamakura	167667	Tsu	157269	Tsu	145054	Kumagaya	120888	Sakata	97709	Tochigi	68807	Obihiro	36694								
