,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Riviere du Loup,86,2128,69,2128,-1,0,81,2128,90,8752,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Brampton,87,2122,70,2122,-1,0,82,2122,-1,0,-1,0,94,18553,44,73602,27,149036,23,234426,17,325428,-1,0
Lethbridge,88,2072,33,12073,49,11198,56,10950,50,16568,44,31194,42,41472,61,51840,63,64889,59,81021,52,100238,33,111299
Saint-Jean-sur-Richelieu,89,2046,48,6721,48,11396,55,11396,61,13694,57,24254,49,34640,65,48064,69,60789,76,68497,67,75149,46,81802
Sudbury,90,2027,59,4150,60,8621,38,18554,23,32200,30,46040,17,110748,19,172524,26,149919,30,157623,32,155219,23,168197
Welland,91,2004,71,2004,-1,0,83,2004,67,12523,92,15956,48,36151,69,44220,82,45467,99,46934,-1,0,55,60540
Drummondville,92,2001,72,2001,-1,0,84,2001,76,10675,50,26458,45,39301,71,43584,75,54480,78,68160,65,76599,40,93046
Saint-Vital,93,1896,73,1896,-1,0,85,1896,-1,0,-1,0,60,29401,95,33081,-1,0,-1,0,-1,0,-1,0
Oakville,94,1840,74,1840,-1,0,86,1840,-1,0,-1,0,-1,0,58,61497,54,75897,43,114732,35,144738,-1,0
Lachute,95,1822,75,1822,-1,0,87,1822,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Preston,96,1805,76,1805,-1,0,88,1805,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sainte-Therese,97,1727,77,1727,-1,0,89,1727,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Saint-Laurent,98,1703,78,1703,-1,0,90,1703,-1,0,37,35827,-1,0,54,63140,61,65909,69,72422,64,77391,-1,0
Grand Falls,99,1688,79,1688,76,3846,74,4564,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Verdun,-1,0,16,25086,12,42291,11,60772,12,67346,16,77638,26,78360,43,74574,68,61340,83,61356,87,60564,-1,0
Medicine Hat,-1,0,27,16019,56,9663,59,9579,62,12939,67,20661,72,25310,-1,0,78,49621,91,52704,85,60924,47,76156
Westmount,-1,0,28,14678,30,17630,26,24377,32,26031,56,24337,74,25021,-1,0,-1,0,-1,0,-1,0,-1,0
Saint Boniface,-1,0,30,13821,43,12955,43,16358,39,21667,46,28648,39,45539,67,46720,-1,0,-1,0,-1,0,-1,0
Moose Jaw,-1,0,31,13812,-1,0,36,19078,36,23181,45,29349,52,33222,-1,0,-1,0,-1,0,-1,0,81,32546
Amherst,-1,0,41,9048,54,10032,64,7519,91,8630,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nelson,-1,0,47,7068,71,5264,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Prince Albert,-1,0,52,6346,64,7901,57,9978,57,14533,71,20201,69,26121,-1,0,-1,0,-1,0,-1,0,65,45024
Wetaskiwin,-1,0,56,4539,84,2104,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kamloops,-1,0,57,4501,70,6167,67,6201,97,8099,-1,0,93,18748,70,43818,57,71910,61,79928,54,89329,36,102072
Prince Rupert,-1,0,58,4238,69,6427,66,6441,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Red Deer,-1,0,65,2441,83,2346,-1,0,-1,0,-1,0,73,25237,-1,0,80,46402,86,58149,79,67707,41,89715
Kalowna,-1,0,80,1661,-1,0,91,1661,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Whitehorse,-1,0,81,755,86,353,93,755,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d1,-1,0,82,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d2,-1,0,83,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d3,-1,0,84,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d4,-1,0,85,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d5,-1,0,86,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d6,-1,0,87,6,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d7,-1,0,88,7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d8,-1,0,89,8,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d9,-1,0,90,9,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d10,-1,0,91,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d11,-1,0,92,11,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d12,-1,0,93,12,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d13,-1,0,94,13,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d14,-1,0,95,14,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d15,-1,0,96,15,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d16,-1,0,97,16,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
