JIANGMEN,973459,DONGTAI,683663,MIANYANG,505460,TIELING,386979,Anyang,2250,Guilin,17000,,,,,,,,,,
CHANGSHU,971659,FENGHUA,675727,YINCHUAN,502080,ZHUZHOU,385646,Liaoyuan,2250,Zhanjiang,17000,,,,,,,,,,
ANYANG,967250,HAIZHOU,669355,JINGKOU,495277,FUYANG,375980,Luzhou,2250,Liaoyang,16900,,,,,,,,,,
MUDANJIANG,965154,HUANGSHI,653722,JIAMUSI,492870,MIANYANG,375664,Shaoxing,2250,Shangqiu,16500,,,,,,,,,,
ZHUZHOU,963205,HUANGSHI,653722,YICHANG,492286,PANZHIHUA,367969,Nanchong,2200,Yingkou,16100,,,,,,,,,,
BENGBU,963115,JIAOZUO,641193,NANTONG,473686,XIANGTAN,366958,Yingkou,2150,Shaoxing,16000,,,,,,,,,,
XIANGTAN,960303,JIEDONG,633570,JINING,468461,JIUJIANG,364687,Yangzhou,2100,Yangzhou,16000,,,,,,,,,,
ZAOZHUANG,957875,JIEYANG,633570,FENGHUA,465665,YICHANG,363579,Chengde,2000,Tonghua,15800,,,,,,,,,,
GUILIN,952978,SHAOXING,633118,SHAOXING,456765,YINCHUAN,363509,Huangshi,2000,Anyang,15300,,,,,,,,,,
QINHUANGDAO,950697,HUAIBEI,632592,PANZHIHUA,456561,ANYANG,352158,Yichun,2000,Yantai,14000,,,,,,,,,,
