city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Niagara Falls,4648,Wetaskiwin,4539,Brockville,10001,Saint-Jean-sur-Richelieu,11396,Cambridge,15320,Brandon,24632,Belleville,30751,Hull,62823,Gatineau,75058,Gatineau,92352,,,Welland,60540
Pembroke,4473,Kamloops,4501,Medicine Hat,9663,Lethbridge,10950,Charlottetown,14564,Westmount,24337,Rouyn-Noranda,30203,Richmond,62141,Delta,74792,Delta,89025,,,Vernon,60123
Brandon,4340,Prince Rupert,4238,Nanaimo,9113,Prince Albert,9978,Prince Albert,14533,Saint-Jean-sur-Richelieu,24254,Salaberry-de-Valleyfield,29882,Shawinigan,61548,Kamloops,71910,Sarnia,87970,,,Fredericton,56663
Calgary,4290,Sudbury,4150,New Glasgow,9013,Brockville,9791,Granby,14279,Glace Bay,24136,Chatham,29875,Oakville,61497,Sainte-Foy,68978,Coquitlam,84007,,,Grande Prairie,55236
Port Hope,4227,Saint-Jerome,3130,Saguenay,8937,Medicine Hat,9579,Cornwall,14151,Galt,23647,Sainte-Foy,29724,Barrie,60717,Charlesbourg,68381,Lethbridge,81021,,,Shawinigan,54669
Ingersoll,4224,Dawson,3041,Sudbury,8621,Dartmouth,9142,Owen Sound,14067,Cambridge,23641,Saint-Vital,29401,Saint-Leonard,52071,Prince George,67698,Richmond Hill,80191,,,Rimouski,54630
Trenton,4213,Summerside,2772,Sydney Mines,8381,Fredericton,8847,Saint-Jean-sur-Richelieu,13694,Salaberry-de-Valleyfield,23558,Saint-Jerome,29119,Lethbridge,51840,Saint-Laurent,65909,Kamloops,79928,,,Leamington,50625
Aylmer,4185,Red Deer,2441,Fredericton,8170,Barrie,7736,Medicine Hat,12939,Corner Brook,23125,Sorel,28905,Chilliwack,50728,North Vancouver,65400,Chilliwack,79263,,,Beloeil,48688
Oshawa,4173,Kalowna,1661,Dartmouth,7970,Trail,7640,Thetford Mines,12786,Saguenay,23111,Brandon,28277,North Bay,49188,Lethbridge,64889,St. Johns,74970,,,Saint-Hyacinthe,47289
Portage la Prairie,3932,Whitehorse,755,Prince Albert,7901,Amherst,7519,Joliette,12749,Chatham,22205,East Kildonan,28178,Prince George,49138,Fredericton,64400,Chatmam,74191,,,Brandon,45624
