Code;Name EN;Province;Lat;Long;1982;1990;2000;2010
CNHOU1410A;HOUMA;SHANXI;35.619105;111.372002;148577;178614;368399;484610
CNHUI2224A;HUICHUN;JILIN;26.1234705;119.2987939;;;286554;483554
CNTIE2112A;TIEFA;LIAONING;42.4666667;123.55;;;313250;482862
CNLIN2113A;LINGYUAN;LIAONING;41.245445;119.401574;98964;117275;204060;482155
CNWAN4690A;WANNING;HAINAN;18.795143;110.391073;;;271084;480809
CNJIA3304B;JIAXING;ZHEJIANG;30.753924;120.758543;421250;420874;451443;478270
CNXIS5301A;XISHAN;YUNNAN;34.6241;116.8031;;;;474191
CNLIA2204A;LIAOYUAN;JILIN;42.887918;125.143532;251546;411073;462233;472256
CNWUC3307A;WUCHENG;ZHEJIANG;36.501;110.8687;;;;469498
CNHUA3503A;HUANGSHI;FUJIAN;25.3722;119.0749;431583;546290;653722;468911
CNYON3303A;YONGJIA;ZHEJIANG;29.5718;106.0079;232863;344478;471558;466871
CNMEI4414A;MEIJIANG;GUANGDONG;27.8787;111.7819;;;193266;466260
CNHUA1309A;HUANGHUA;HEBEI;38.371383;117.330048;;;285132;465011
CNHEY4416A;HEYUAN;GUANGDONG;36.956;117.8537;74548;103341;318422;463907
CNCHE4203A;CHENGGUAN;HUBEI;32.0426;110.7274;105866;139822;223001;462340
CNCHE4310B;CHENGGUAN;HUNAN;26.7078;113.2666;;;;459522
CNTON3407A;TONGLING;ANHUI;30.94453;117.810841;227310;311980;393246;458392
CNSHU5101A;SHUANGLIU;SICHUAN;27.0574;106.8532;;;;457753
CNSHU3213A;SHUCHENG;JIANGSU;34.137;118.7707;;;241620;456711
CNGUI4508A;GUIGANG;GUANGXI;23.111531;109.598927;;;;454742
CNLIS3311A;LISHUI;ZHEJIANG;23.6017;111.8186;;;348192;451418
CNKEE1505A;KEERQIN;NEIMENGGU;40.657978;109.840313;;;297090;450780
CNBAI6204A;BAIYIN;GANSU;36.544827;104.137619;201334;382654;357887;445759
CNCHE6105B;CHENGGUAN;SHAANXI;34.811418;109.93493;;;;443936
CNYAN4417C;YANGDONG;GUANGDONG;21.857958;111.982232;165112;211060;415784;442762
CNXIA3301A;XIAOSHAN;ZHEJIANG;30.182706;120.264494;187017;164087;248258;442658
CNRON1306A;RONGCHENG;HEBEI;39.042784;115.861657;;;;441046
CNZHI4205A;ZHIJIANG;HUBEI;30.42594;111.760531;;;274023;439821
CNTIE2112B;TIELING;LIAONING;42.22297;123.726163;386979;326942;387634;439438
CNJIN1407A;JINZHONG;SHANXI;37.697794;112.708224;134234;194805;324878;436046
CNAND2312A;ANDA;HEILONGJIANG;46.418017;125.344068;78080;140437;313253;433008
CNNIN3509A;NINGDE;FUJIAN;26.665617;119.547933;317826;364324;407459;429260
CNYIN3606A;YINGTAN;JIANGXI;28.260189;117.069202;204954;270444;369361;428458
CNPIZ3203A;PIZHOU;JIANGSU;34.339032;118.012497;;;285150;428256
CNNIN3302A;NINGHAI;ZHEJIANG;29.287939;121.429477;;;208712;423921
CNWEI4110A;WEIDUQU;HENAN;34.025341;113.822647;227676;295890;373387;421099
CNGAO4406A;GAOMING;GUANGDONG;22.900182;112.892578;;;330746;420044
CNBAN5305A;BANQIAO;YUNNAN;31.6942515;113.4004303;;;137965;419909
CNHAN1508A;HANGJINHOU;NEIMENGGU;40.743213;107.387657;76354;107662;281385;419392
CNBAI5001C;BAISHA;CHONGQING;34.2158472;108.9031955;;;;417682
CNQID3206A;QIDONG;JIANGSU;31.80822;121.657428;283680;334716;405542;414202
CNHON4312A;HONGJIANG;HUNAN;27.208609;109.836669;67283;118211;291189;413340
CNYON3307A;YONGKANG;ZHEJIANG;28.888782;120.047394;129017;193820;364412;412556
CNJIN3602A;JINGDEZHEN;JIANGXI;29.268783;117.178443;339576;377723;401730;411983
CNTAI3205A;TAICANG;JIANGSU;31.457735;121.13055;169731;269405;299729;411670
CNFUA3509A;FUAN;FUJIAN;27.088049;119.64777;94021;105265;188808;410982
CNCHA3501A;CHANGLE;FUJIAN;25.96312;119.523382;69684;78849;175824;410379
CNYAO1410A;YAODU;SHANXI;30.0996;117.0175;;;303620;409620
CNZHA3212B;ZHAOYANG;JIANGSU;32.929542;119.817648;27656;37116;42899;407005
CNJIN3204A;JINTAN;JIANGSU;31.723248;119.597897;138078;226674;294429;401749
CNNAI1505A;NAIMAN;NEIMENGGU;42.867226;120.6582819;177378;196158;283029;401509
CNHAI2310A;HAILIN;HEILONGJIANG;44.594136;129.380486;;;;400859
